ID: koa_10010012_002 | T:3 vs O:2
ID: koa_10010012_004 | T:5 vs O:4
ID: koa_10010013_001 | T:1 vs O:2
ID: koa_10010014_003 | T:1 vs O:2
ID: koa_10010014_005 | T:6 vs O:5
ID: koa_10010016_001 | T:8 vs O:9
ID: koa_10010017_001 | T:10 vs O:11
ID: koa_10010018_004 | T:6 vs O:5
ID: koa_10010018_005 | T:7 vs O:6
ID: koa_10010019_001 | T:3 vs O:2
ID: koa_10010019_003 | T:10 vs O:9
ID: koa_10010020_001 | T:6 vs O:5
ID: koa_10010021_001 | T:22 vs O:23
ID: koa_10010022_002 | T:7 vs O:6
ID: koa_10010022_005 | T:2 vs O:1
ID: koa_10010022_006 | T:7 vs O:6
ID: koa_10010023_002 | T:11 vs O:10
ID: koa_10010024_002 | T:26 vs O:27
ID: koa_10010025_001 | T:5 vs O:6
ID: koa_10010026_001 | T:8 vs O:7
ID: koa_10010028_001 | T:3 vs O:2
ID: koa_10010029_001 | T:8 vs O:7
ID: koa_10011001_001 | T:3 vs O:2
ID: koa_10011003_001 | T:5 vs O:4
ID: koa_10011003_002 | T:17 vs O:16
ID: koa_10011005_001 | T:11 vs O:10
ID: koa_10011005_003 | T:7 vs O:8
