ID: koa_10505017_011 | 사유: 기계분할_실패(O:40, T:40)
ID: koa_10505017_012 | 사유: 기계분할_실패(O:14, T:15)
ID: koa_10505017_013 | 사유: 기계분할_실패(O:7, T:7)
ID: koa_10505017_014 | 사유: 기계분할_실패(O:5, T:5)
ID: koa_10505017_015 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10505017_016 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505017_018 | 사유: 기계분할_실패(O:6, T:6)
ID: koa_10505017_019 | 사유: 가짜매칭_적발(유사도 0.46)
ID: koa_10505017_021 | 사유: 가짜매칭_적발(유사도 0.36)
ID: koa_10505017_022 | 사유: 기계분할_실패(O:1, T:3)
ID: koa_10505018_001 | 사유: 기계분할_실패(O:3, T:2)
ID: koa_10505018_002 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505018_003 | 사유: 기계분할_실패(O:5, T:3)
ID: koa_10505018_004 | 사유: 기계분할_실패(O:7, T:5)
ID: koa_10505018_005 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10505018_006 | 사유: 기계분할_실패(O:3, T:3)
ID: koa_10505018_007 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505018_008 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505018_009 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505018_010 | 사유: 가짜매칭_적발(유사도 0.36)
ID: koa_10505018_011 | 사유: 기계분할_실패(O:1, T:2)
ID: koa_10505018_012 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505018_014 | 사유: 기계분할_실패(O:17, T:20)
ID: koa_10505018_015 | 사유: 기계분할_실패(O:5, T:6)
ID: koa_10505018_016 | 사유: 기계분할_실패(O:10, T:9)
ID: koa_10505018_017 | 사유: 기계분할_실패(O:6, T:5)
ID: koa_10505018_018 | 사유: 기계분할_실패(O:2, T:3)
ID: koa_10505018_019 | 사유: 기계분할_실패(O:8, T:9)
ID: koa_10505018_020 | 사유: 가짜매칭_적발(유사도 0.40)
ID: koa_10505018_021 | 사유: 가짜매칭_적발(유사도 0.39)
ID: koa_10505018_022 | 사유: 기계분할_실패(O:11, T:9)
ID: koa_10505018_025 | 사유: 기계분할_실패(O:4, T:4)
ID: koa_10505019_001 | 사유: 가짜매칭_적발(유사도 0.29)
ID: koa_10505019_002 | 사유: 기계분할_실패(O:2, T:2)
ID: koa_10505019_004 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505019_005 | 사유: 기계분할_실패(O:2, T:2)
ID: koa_10505019_006 | 사유: 기계분할_실패(O:22, T:25)
ID: koa_10505019_007 | 사유: 기계분할_실패(O:3, T:5)
ID: koa_10505019_008 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10505019_009 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505019_010 | 사유: 기계분할_실패(O:11, T:11)
ID: koa_10505019_011 | 사유: 기계분할_실패(O:15, T:13)
ID: koa_10505019_012 | 사유: 가짜매칭_적발(유사도 0.37)
ID: koa_10505019_013 | 사유: 기계분할_실패(O:2, T:2)
ID: koa_10505019_014 | 사유: 기계분할_실패(O:3, T:4)
ID: koa_10505019_015 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505019_016 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505019_017 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505020_001 | 사유: 가짜매칭_적발(유사도 0.48)
ID: koa_10505020_002 | 사유: 기계분할_실패(O:9, T:10)
ID: koa_10505020_003 | 사유: 가짜매칭_적발(유사도 0.47)
ID: koa_10505020_004 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10505020_005 | 사유: 가짜매칭_적발(유사도 0.47)
ID: koa_10505020_006 | 사유: 가짜매칭_적발(유사도 0.25)
ID: koa_10505020_007 | 사유: 기계분할_실패(O:4, T:3)
ID: koa_10505020_008 | 사유: 기계분할_실패(O:9, T:11)
ID: koa_10505020_009 | 사유: 기계분할_실패(O:8, T:10)
ID: koa_10505020_010 | 사유: 기계분할_실패(O:2, T:1)
ID: koa_10505020_011 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505020_012 | 사유: 기계분할_실패(O:5, T:4)
ID: koa_10505021_001 | 사유: 가짜매칭_적발(유사도 0.30)
ID: koa_10505021_003 | 사유: 가짜매칭_적발(유사도 0.32)
ID: koa_10505021_005 | 사유: 가짜매칭_적발(유사도 0.41)
ID: koa_10505021_006 | 사유: 기계분할_실패(O:7, T:8)
ID: koa_10505021_007 | 사유: 기계분할_실패(O:4, T:5)
ID: koa_10505021_009 | 사유: 기계분할_실패(O:2, T:4)
ID: koa_10505021_013 | 사유: 기계분할_실패(O:3, T:1)
