ID: koa_10008023_003 | Count: 8
ID: koa_10008023_010 | Count: 1
ID: koa_10008025_006 | Count: 7
ID: koa_10008025_007 | Count: 3
ID: koa_10008025_008 | Count: 1
ID: koa_10008025_010 | Count: 1
ID: koa_10008025_011 | Count: 4
ID: koa_10008025_012 | Count: 1
ID: koa_10008025_013 | Count: 1
ID: koa_10008026_003 | Count: 4
ID: koa_10008028_008 | Count: 3
ID: koa_10008028_009 | Count: 8
ID: koa_10008029_004 | Count: 1
ID: koa_10008030_001 | Count: 1
ID: koa_10008030_002 | Count: 8
ID: koa_10009001_003 | Count: 9
ID: koa_10009002_001 | Count: 6
ID: koa_10009004_002 | Count: 2
ID: koa_10009004_003 | Count: 23
ID: koa_10009005_002 | Count: 6
ID: koa_10009006_003 | Count: 8
ID: koa_10009007_003 | Count: 24
ID: koa_10009008_001 | Count: 1
ID: koa_10009009_001 | Count: 2
ID: koa_10009009_003 | Count: 11
ID: koa_10009009_005 | Count: 1
ID: koa_10009010_002 | Count: 3
ID: koa_10009011_003 | Count: 12
ID: koa_10009011_004 | Count: 2
ID: koa_10009012_001 | Count: 5
ID: koa_10009012_005 | Count: 2
ID: koa_10009013_001 | Count: 1
ID: koa_10009013_002 | Count: 12
ID: koa_10009013_004 | Count: 1
ID: koa_10009014_001 | Count: 6
ID: koa_10009014_003 | Count: 10
ID: koa_10009014_004 | Count: 8
ID: koa_10009014_005 | Count: 2
ID: koa_10009014_007 | Count: 1
ID: koa_10009015_001 | Count: 7
ID: koa_10009015_004 | Count: 1
ID: koa_10009016_002 | Count: 4
ID: koa_10009017_001 | Count: 3
ID: koa_10009017_003 | Count: 1
ID: koa_10009017_005 | Count: 11
ID: koa_10009019_001 | Count: 5
ID: koa_10009019_003 | Count: 4
ID: koa_10009020_001 | Count: 2
ID: koa_10009020_002 | Count: 1
ID: koa_10009020_003 | Count: 1
ID: koa_10009022_003 | Count: 3
ID: koa_10009023_001 | Count: 5
ID: koa_10009024_003 | Count: 2
ID: koa_10009025_003 | Count: 1
ID: koa_10009026_004 | Count: 5
ID: koa_10009026_005 | Count: 2
ID: koa_10009027_001 | Count: 1
ID: koa_10009027_002 | Count: 14
ID: koa_10009028_001 | Count: 8
ID: koa_10009029_001 | Count: 4
ID: koa_10009029_002 | Count: 11
ID: koa_10009029_003 | Count: 1
ID: koa_10009030_001 | Count: 1
ID: koa_10009030_003 | Count: 5
ID: koa_10010004_002 | Count: 8
ID: koa_10010006_002 | Count: 11
ID: koa_10010007_003 | Count: 3
ID: koa_10010008_001 | Count: 9
ID: koa_10010008_006 | Count: 1
ID: koa_10010010_001 | Count: 1
ID: koa_10010011_002 | Count: 4
ID: koa_10010011_003 | Count: 5
ID: koa_10010012_002 | Count: 2
ID: koa_10010012_003 | Count: 6
ID: koa_10010012_004 | Count: 4
ID: koa_10010014_005 | Count: 5
ID: koa_10010015_001 | Count: 2
ID: koa_10010018_001 | Count: 5
ID: koa_10010019_004 | Count: 1
ID: koa_10010022_003 | Count: 3
ID: koa_10010022_004 | Count: 5
ID: koa_10010022_006 | Count: 6
ID: koa_10010023_003 | Count: 6
ID: koa_10010024_003 | Count: 1
ID: koa_10010025_004 | Count: 9
ID: koa_10010026_001 | Count: 6
ID: koa_10010027_001 | Count: 5
ID: koa_10010029_001 | Count: 7
ID: koa_10011001_001 | Count: 2
ID: koa_10011001_002 | Count: 2
ID: koa_10011005_002 | Count: 5
ID: koa_10011006_003 | Count: 1
ID: koa_10011007_003 | Count: 2
